"PUBLICATION_NUMBER","PUBLICATION_DATE","IPO_LOCATION","APPLICATION_TYPE_DESC","APPLICATION_NUMBER","DATE_OF_FILING","TITLE_OF_INVENTION","FIELD_OF_INVENTION","NO_OF_PAGES","NO_OF_CLAIMS","DATE_UPDATED_d_m_y"
"01/2016","01/01/2016","Delhi","CONVENTION APPLICATION","10/DEL/2010","04/01/2010","""PRODUCTION OF A PHARMACEUTICAL CONTAINER FROM THE MELT""","CHEMISTRY","25","24","19/04/2023"
"01/2016","01/01/2016","Mumbai","PCT NATIONAL PHASE APPLICATION","1005/MUMNP/2007","03/07/2007","“A MANUFACTURING METHOD OF AN ANODE PLATE OF A LITHIUM-ION BATTERY”","ELECTRICAL","21","12","19/04/2023"
"01/2016","01/01/2016","Kolkata","CONVENTION APPLICATION","104/KOL/2007","29/01/2007","MOTOR-DRIVEN SURGICAL CUTTING AND FASTENING INSTRUMENT WITH ARTICULATABLE END EFFECTOR","BIOMEDICAL","39","10","19/04/2023"
"01/2016","01/01/2016","Mumbai","PCT NATIONAL PHASE APPLICATION","1045/MUMNP/2009","28/05/2009","SYSTEM AND METHOD FOR DIGITAL SIGNAL PROCESSING","ELECTRONICS","55","25","19/04/2023"
"01/2016","01/01/2016","Mumbai","PCT NATIONAL PHASE APPLICATION","1070/MUMNP/2009","03/06/2009","“STERILISATION INDICATOR”","PHYSICS","19","16","19/04/2023"
"01/2016","01/01/2016","Delhi","DIVISIONAL ORDINARY APPLICATION","1090/DEL/2009","28/05/2009","""A HOMEOPATHIC COMPOSITION TO BE USED AS A SUBSTITUTE FOR CHEMICAL PESTICIDE ESPECIALLY USEFUL IN  RAMBLING VINE AND CREEPING VEGETABLE PLANTS""","CHEMISTRY","12","3","19/04/2023"
"01/2016","01/01/2016","Delhi","DIVISIONAL ORDINARY APPLICATION","1092/DEL/2009","28/05/2009","""A HOMEOPATHIC COMPOSITION TO BE USED AS A SUBSTITUTE OF CHEMICAL NITROGENOUS FERTILIZERS""","CHEMISTRY","12","3","19/04/2023"
"01/2016","01/01/2016","Delhi","DIVISIONAL ORDINARY APPLICATION","1093/DEL/2009","28/05/2009","""A HOMEOPATHIC COMPOSITION TO BE USED AS A SUBSTITUTE FOR CHEMICAL PESTICIDE ESPECIALLY USEFUL IN  A POTATO CULTIVATION""","CHEMISTRY","12","3","19/04/2023"
"01/2016","01/01/2016","Delhi","DIVISIONAL ORDINARY APPLICATION","1094/DEL/2009","28/05/2009","""A HOMEOPATHIC COMPOSITION TO BE USED AS PESTICIDE""","CHEMISTRY","12","3","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","1107/DELNP/2009","16/02/2009","""A PROCESS TO PRODUCE AN ENRICHMENT FEED""","CHEMISTRY","144","22","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","1116/DELNP/2009","17/02/2009","""A MULTILAYER FILM""","POLYMER","32","20","19/04/2023"
"01/2016","01/01/2016","Mumbai","ORDINARY APPLICATION","1133/MUM/2007","18/06/2007","AUTO HAZARD SYSTEM - VEHICLE","MECHANICAL","10","5","19/04/2023"
"01/2016","01/01/2016","Delhi","PCT NATIONAL PHASE APPLICATION","1134/DELNP/2009","17/02/2009","""XYLITOL SYNTHESIS MUTANT OF XYLOSE-UTILIZING ZYMOMONAS FOR ETHANOL PRODUCTION""","BIOTECHNOLOGY","134","9","19/04/2023"
"01/2016","01/01/2016","Delhi","DIVISIONAL PCT NATIONAL PHASE APPLICATION","1184/DELNP/2008","11/02/2008","""A SUBSTITUTED ECTEINASCIDIN COMPOUND""","CHEMISTRY","127","37","19/04/2023"
"01/2016","01/01/2016","Kolkata","PATENT OF ADDITION FOR PCT NATIONAL PHASE APPLICATION","1205/KOLNP/2007","05/04/2007","ELECTRODES USEFUL FOR MOLTEN SALT ELECTROLYSIS OF ALUMINUM OXIDE TO ALUMINUM","CHEMISTRY","36","14","19/04/2023"
"01/2016","01/01/2016","Mumbai","ORDINARY APPLICATION","1236/MUM/2007","28/06/2007","MUFF COUPLING ASSEMBLY","CIVIL","21","12","19/04/2023"
"01/2016","01/01/2016","Delhi","ORDINARY APPLICATION","1237/DEL/2008","19/05/2008","A PROCESS FOR THE PRODUCTION OF ANTI-LISTERIAL BACTERIOCIN.","BIOTECHNOLOGY","19","7","19/04/2023"
"01/2016","01/01/2016","Kolkata","ORDINARY APPLICATION","1286/KOL/2008","29/07/2008","AS CAST DUAL PHASE STEEL","METALLURGY","5","3","19/04/2023"
"01/2016","01/01/2016","Mumbai","ORDINARY APPLICATION","1287/MUM/2009","22/05/2009","""AN EXTENDED RELEASE PHARMACEUTICAL COMPOSITIONS COMPRISING CYCLOBENZAPRINE HYDROCHLORIDE""","CHEMISTRY","23","15","19/04/2023"
