"PUBLICATION_NUMBER","PUBLICATION_DATE","IPO_LOCATION","APPLICATION_TYPE_DESC","APPLICATION_NUMBER","DATE_OF_FILING","TITLE_OF_INVENTION","FIELD_OF_INVENTION","NO_OF_PAGES","NO_OF_CLAIMS","DATE_UPDATED_d_m_y"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","1002/DELNP/2010","15/02/2010","""PHASE ANALYSIS MEASUREMENT APPARATUS AND METHOD""","PHYSICS","56","19","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","10068/DELNP/2008","03/12/2008","""PATCH FOR MODIFICATION OF THE POWER OF AN OPTICAL COMPONENT""","ELECTRONICS","20","34","19/04/2023"
"01/2018","05/01/2018","Delhi","DIVISIONAL PCT NATIONAL PHASE APPLICATION","10069/DELNP/2008","03/12/2008","""A METHOD FOR DRIVING OR PUSHING PILES""","CIVIL","37","7","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","10300/DELNP/2012","27/11/2012","TARGET POINT RECOGNITION METHOD AND SURVEYING INSTRUMENT","PHYSICS","29","15","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","10397/DELNP/2012","29/11/2012","""ADSORBENT FOR FEED AND PRODUCTS PURIFICATION IN BENZENE SATURATION PROCESS""","CHEMISTRY","17","10","19/04/2023"
"01/2018","05/01/2018","Kolkata","ORDINARY APPLICATION","1063/KOL/2013","12/09/2013","'A METHOD OF HEATING CLEANING SOLVENTS TO ACIDIC RANGE FOR REMOVING MILL SCALE RUST FORMED DURING MANUFACTURING STORAGE AND FABRICATION AND BOILER OPERATIONAL STAGES OF SUB CRITICAL SUPER CRITICAL DRUM TYPE/ONCE THROUGH BOILERS'","CHEMISTRY","13","6","19/04/2023"
"01/2018","05/01/2018","Mumbai","ORDINARY APPLICATION","1073/MUM/2007","06/06/2007","SINGLE USE LOCK SYSTEM","CIVIL","15","5","19/04/2023"
"01/2018","05/01/2018","Chennai","ORDINARY APPLICATION","1097/CHE/2011","31/03/2011","“A NETWORK ELEMENT FOR A TELECOMMUNICATION SYSTEM”","ELECTRICAL","13","8","19/04/2023"
"01/2018","05/01/2018","Mumbai","PCT NATIONAL PHASE APPLICATION","1116/MUMNP/2011","01/06/2011","“PROCESS FOR REMOVING BY-PRODUCTS FROM N-VINYLAMIDES”","CHEMISTRY","12","17","19/04/2023"
"01/2018","05/01/2018","Kolkata","PCT NATIONAL PHASE APPLICATION","116/KOLNP/2010","11/01/2010","CRANKCASE VENTILATION SYSTEM WITH PUMPED SCAVENGED OIL","MECHANICAL","23","30","19/04/2023"
"01/2018","05/01/2018","Kolkata","CONVENTION APPLICATION","119/KOL/2009","21/01/2009","A METHOD OF ENHANCING CATALYST PERFORMANCE IN A VEHICLE BY ENGINE LOAD ADJUSTMENT","CHEMISTRY","19","18","19/04/2023"
"01/2018","05/01/2018","Kolkata","PCT NATIONAL PHASE APPLICATION","1198/KOLNP/2008","24/03/2008","HIGH MILK SOLID CHOCOLATE COMPOSITION","FOOD","24","13","19/04/2023"
"01/2018","05/01/2018","Chennai","ORDINARY APPLICATION","1222/CHE/2011","07/04/2011","PROCESS FOR THE PREPARATION OF ALKYL/ARYL THIOPYRAZOLES","CHEMISTRY","20","16","19/04/2023"
"01/2018","05/01/2018","Kolkata","CONVENTION APPLICATION","1312/KOL/2008","31/07/2008","AN IMMUNOASSAY REAGENT","BIOTECHNOLOGY","28","18","19/04/2023"
"01/2018","05/01/2018","Chennai","ORDINARY APPLICATION","1319/CHE/2009","04/06/2009","DETACHABLE AND CHANGEABLE HEM","MECHANICAL","13","3","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","132/DELNP/2013","04/01/2013","SEPARATION METHOD AND METHOD FOR PRODUCING ISOCYANATE","CHEMISTRY","216","12","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","1332/DELNP/2010","25/02/2010","""A PROCESS FOR PRODUCING A SUSPENSION OF CELLULOSE PARTICLES""","POLYMER","17","16","19/04/2023"
"01/2018","05/01/2018","Kolkata","ORDINARY APPLICATION","1336/KOL/2011","17/10/2011","SKIN CARE COMPOSITION CONTAINING ACTIVES IN HIGH INTERFACIAL PHASE EMULSIFICATION SYSTEM","CHEMISTRY","16","10","19/04/2023"
"01/2018","05/01/2018","Mumbai","PCT NATIONAL PHASE APPLICATION","1343/MUMNP/2010","24/06/2010","“IMPROVEMENTS IN OR RELATING TO NETWORKS”","ELECTRONICS","18","22","19/04/2023"
"01/2018","05/01/2018","Mumbai","PCT NATIONAL PHASE APPLICATION","1344/MUMNP/2010","24/06/2010","METHOD AND APPARATUS FOR MONITORING THE OPERABILITY OF A TRAVELLING GRATE IN A SINTERING MACHINE","MECHANICAL","21","19","19/04/2023"
"01/2018","05/01/2018","Chennai","PCT NATIONAL PHASE APPLICATION","1387/CHENP/2011","28/02/2011","SYSTEM AND METHOD OF SERVING GATEWAY HAVING MOBILE PACKET PROTOCOL APPLICATION-AWARE PACKET MANAGEMENT","NA","32","15","19/04/2023"
"01/2018","05/01/2018","Kolkata","ORDINARY APPLICATION","1392/KOL/2008","19/08/2008","DISSOLVABLE FILM AND METHOD OF PREPARATION","POLYMER","19","14","19/04/2023"
"01/2018","05/01/2018","Chennai","PCT NATIONAL PHASE APPLICATION","1400/CHENP/2010","11/03/2010","RESOURCE SCHEDULING ENABLING PARTIALLY-CONSTRAINED RETRANSMISSION","ELECTRONICS","72","14","19/04/2023"
"01/2018","05/01/2018","Mumbai","ORDINARY APPLICATION","1441/MUM/2012","11/06/2012","A CATALYST COMPOSITION AND A PROCESS FOR SELECTIVE HYDROGENATION OF METHYL ACETYLENE AND PROPADIENE","CHEMISTRY","35","29","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","1470/DELNP/2012","17/02/2012","""PROCESS FOR MAKING A FLEXIBLE POLYURETHANE FOAM""","POLYMER","18","7","19/04/2023"
"01/2018","05/01/2018","Delhi","ORDINARY APPLICATION","1544/DEL/2011","31/05/2011","WAKE-UP SIGNAL RECEIVER FOR ACTIVE RFID TAGS","ELECTRONICS","16","12","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","1571/DELNP/2008","22/02/2008","""ADJUSTABLE MULTIBAND ANTENNA""","ELECTRICAL","22","14","19/04/2023"
"01/2018","05/01/2018","Chennai","PCT NATIONAL PHASE APPLICATION","1577/CHENP/2012","21/02/2012","ELECTROMAGNETIC FUEL INJECTION VALVE","MECHANICAL","23","4","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","1585/DELNP/2010","08/03/2010","""ADAPTIVE BRAKE SCHEME DURING A LOCOMOTIVE DISTRIBUTED POWER COMMUNICATION LOSS""","MECHANICAL","24","13","19/04/2023"
"01/2018","05/01/2018","Kolkata","PCT NATIONAL PHASE APPLICATION","1635/KOLNP/2009","30/04/2009","IMPLANTABLE REPAIR DEVICE","MECHANICAL","26","36","19/04/2023"
"01/2018","05/01/2018","Delhi","ORDINARY APPLICATION","1639/DEL/2007","02/08/2007","A SORTING UNIT FOR A FRUIT SORTING AND GRADING MACHINE","MECHANICAL","23","9","19/04/2023"
"01/2018","05/01/2018","Kolkata","PCT NATIONAL PHASE APPLICATION","1641/KOLNP/2011","20/04/2011","METHOD FOR PRODUCING BETA-SANTALENE","BIOTECHNOLOGY","40","18","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","1679/DELNP/2007","02/03/2007","""A WIRELESS TERMINAL FOR PROVIDING A LOCATION BASED SERVICE""","ELECTRONICS","24","24","19/04/2023"
"01/2018","05/01/2018","Kolkata","ORDINARY APPLICATION","1728/KOL/2007","26/12/2007","ENZYMATIC TRANSESTERIFICATION OF JATROPA OIL","BIOCHEMISTRY","8","7","19/04/2023"
"01/2018","05/01/2018","Delhi","CONVENTION APPLICATION","173/DEL/2006","23/01/2006","""METHOD AND SYSTEM INTEGRATING MULTIPLE IDENTIES, IDENNTITY MECHANISMS AND IDENTITY MECHANISMS AND IDENTITY PROVIDERS IN A SINGLE USER PARADIGM""","COMPUTER","17","20","19/04/2023"
"01/2018","05/01/2018","Kolkata","CONVENTION APPLICATION","1744/KOL/2008","15/10/2008","VEHICLE COWL DISPOSED REARWARD OF A FRONT WHEEL OF A MOTORCYCLE","MECHANICAL","21","10","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","1754/DELNP/2010","12/03/2010","""RATIONALLY DESIGNED, SYNTHETIC HUMAN ANTIBODY LIBRARIES AND USES THEREFOR""","BIOTECHNOLOGY","261","72","19/04/2023"
"01/2018","05/01/2018","Kolkata","PCT NATIONAL PHASE APPLICATION","1756/KOLNP/2010","14/05/2010","DRIVE FOR TRANSIT DOOR","MECHANICAL","11","4","19/04/2023"
"01/2018","05/01/2018","Delhi","ORDINARY APPLICATION","1794/DEL/2009","01/09/2009","""A SYSTEM FOR AUTOMATIC STOP AND START OF TRACTOR TO REDUCE FUEL CONSUMPTION""","MECHANICAL","7","5","19/04/2023"
"01/2018","05/01/2018","Kolkata","PCT NATIONAL PHASE APPLICATION","1816/KOLNP/2009","15/05/2009","CALIPER BRAKE DEVICE FOR VEHICLE","MECHANICAL","36","12","19/04/2023"
"01/2018","05/01/2018","Kolkata","PCT NATIONAL PHASE APPLICATION","1817/KOLNP/2010","19/05/2010","HONEYCOMB STRUCTURED BODY","MECHANICAL","49","2","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","1828/DELNP/2009","19/03/2009","""BELLOWS COMPRISING A RECEIVER FOR A RETAINING RING AND METHOD FOR PRODUCING THE SAME""","MECHANICAL","20","7","19/04/2023"
"01/2018","05/01/2018","Mumbai","PCT NATIONAL PHASE APPLICATION","1831/MUMNP/2008","25/08/2008","MOBILE SPINDLE LOCK MECHANISM","ELECTRICAL","27","24","19/04/2023"
"01/2018","05/01/2018","Mumbai","PCT NATIONAL PHASE APPLICATION","1834/MUMNP/2011","05/09/2011","FLEXIBLE STRIP STEEL PROCESSING LINE SUITABLE FOR PRODUCING VARIOUS HIGH-STRENGTH STEEL","CHEMISTRY","31","7","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","1843/DELNP/2009","20/03/2009","""ENAMELING STEEL SHEET, OUTSTANDINGLY EXCELLENT IN FISHSCALE RESISTNCE AND METHOD OF PRODUCING THE SAME""","METALLURGY","54","12","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","1874/DELNP/2010","17/03/2010","RNA VACCINES","BIOTECHNOLOGY","69","15","19/04/2023"
"01/2018","05/01/2018","Kolkata","CONVENTION APPLICATION","1880/KOL/2008","03/11/2008","METHOD AND APPARATUS TO CONTROL ENGINE TORQUE TO PEAK MAIN PRESSURE FOR A HYBRID POWERTRAIN SYSTEM","MECHANICAL","49","14","19/04/2023"
"01/2018","05/01/2018","Mumbai","PCT NATIONAL PHASE APPLICATION","1885/MUMNP/2010","07/09/2010","A CONTROL SYSTEM AND A METHOD FOR CONTROLLING A WIND TURBINE","MECHANICAL","28","30","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","1912/DELNP/2011","15/03/2011","""PRODUCING METHOD OF SINTER""","METALLURGY","54","7","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","1934/DELNP/2006","10/04/2006","""A METHOD OF PERFORMING SPATIAL PROCESSING AT A RECEIVER IN A WIRELESS MULTIPLE-INPUT MULTIPLE-OUTPUT (MEMO) COMMUNICATION SYSTEM""","COMPUTER","35","22","19/04/2023"
"01/2018","05/01/2018","Delhi","CONVENTION APPLICATION","1936/DEL/2010","16/08/2010","""EXHAUST PIPE SUPPORT STRUCTURE""","MECHANICAL","15","7","19/04/2023"
"01/2018","05/01/2018","Chennai","PCT NATIONAL PHASE APPLICATION","1971/CHENP/2010","08/04/2010","REMOVAL OF CARBON DIOXIDE FROM A FEED GAS","CHEMISTRY","20","23","19/04/2023"
"01/2018","05/01/2018","Delhi","PCT NATIONAL PHASE APPLICATION","1971/DELNP/2010","19/03/2010","""LH LIQUID FORMULATIONS""","CHEMISTRY","49","30","19/04/2023"
"01/2018","05/01/2018","Mumbai","PCT NATIONAL PHASE APPLICATION","1975/MUMNP/2009","22/10/2009","“INPUT METHOD EDITOR HAVING A SECONDARY LANGUAGE MODE”","COMPUTER","23","22","19/04/2023"
"01/2018","05/01/2018","Chennai","PCT NATIONAL PHASE APPLICATION","204/CHENP/2009","12/01/2009","PEPTIDE FRAGMENTS FOR INDUCING SYNTHESIS OF EXTRACELLULAR MATRIX PROTEINS","BIOTECHNOLOGY","27","24","19/04/2023"
"01/2018","05/01/2018","Mumbai","PCT NATIONAL PHASE APPLICATION","2040/MUMNP/2011","29/09/2011","APPARATUS AND METHOD FOR RECOVERY OF ACETIC ACID FROM AN AQUEOUS SOLUTION THEREOF","CHEMISTRY","26","20","19/04/2023"
"01/2018","05/01/2018","Kolkata","PCT NATIONAL PHASE APPLICATION","2048/KOLNP/2007","06/06/2007","A PROGRESSIVE OPHTHALMIC LENS AND METHOD OF PRODUCING A PROGRESSIVE OPHTHALMIC LENS","PHYSICS","35","16","19/04/2023"
"01/2018","05/01/2018","Delhi","CONVENTION APPLICATION","2060/DEL/2009","01/10/2009","HYDRAULIC MACHINE","MECHANICAL","35","7","19/04/2023"
"01/2018","05/01/2018","Delhi","CONVENTION APPLICATION","2063/DEL/2008","02/09/2008","""CYLINDER LOCK PROTECT APPARATUS""","CIVIL","25","6","19/04/2023"
"01/2018","05/01/2018","Mumbai","ORDINARY APPLICATION","2073/MUM/2008","26/09/2008","PHARMACEUTICAL COMPOSITION COMPRISING COENZYME Q10","CHEMISTRY","20","18","19/04/2023"
"01/2018","05/01/2018","Mumbai","PCT NATIONAL PHASE APPLICATION","2088/MUMNP/2010","01/10/2010","“BOUNDARY ARTIFACT CORRECTION WITHIN VIDEO UNITS”","ELECTRONICS","75","52","19/04/2023"
"01/2018","05/01/2018","Chennai","PCT NATIONAL PHASE APPLICATION","2098/CHENP/2011","25/03/2011","EUI BASED REMOTE DATABASE FOR DYNAMIC DEVICE CONTROL","COMPUTER","27","15","19/04/2023"
"01/2018","05/01/2018","Mumbai","CONVENTION APPLICATION","2100/MUM/2008","29/09/2008","COVER MEMBER, DEVELOPING CARTRIDGE AND DEVELOPING UNIT FOR IMAGE FORMING APPARATUS","PHYSICS","27","24","19/04/2023"
"01/2018","05/01/2018","Chennai","PCT NATIONAL PHASE APPLICATION","2107/CHENP/2011","28/03/2011","PROCESS FOR THE PURIFICATION OF AN AQUEOUS STREAM COMING FROM THE FISCHER-TROPSCH REACTION","CHEMISTRY","30","37","19/04/2023"
"01/2018","05/01/2018","Chennai","PCT NATIONAL PHASE APPLICATION","2124/CHENP/2009","20/04/2009","PROCESS FOR CHROMOSOMAL INTEGRATION OAND DNA SEQUENCE REPLACEMENT IN CLOSTRIDIA","BIOTECHNOLOGY","27","29","19/04/2023"
"01/2018","05/01/2018","Chennai","ORDINARY APPLICATION","2138/CHE/2008","01/09/2008","A NOVEL PROCESS FOR THE PREPARATION OF GABAPENTIN","CHEMISTRY","32","10","19/04/2023"
"01/2018","05/01/2018","Chennai","ORDINARY APPLICATION","2145/CHE/2008","02/09/2008","AN INTEGRATED FLUID LEVEL SENSOR WITH REED SWITCH","MECHANICAL","21","17","19/04/2023"
